"Reference","Qty","Value","Description","Footprint","LCSC"
"C1,C2,C3,C4","4","100nF","","Capacitor_SMD:C_0805_2012Metric","C49678"
"J2","1","PORT A","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"J3","1","PORT B","Generic connector, double row, 02x06, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)","6502 Parts:6502 GPIO Connector",""
"U1,U2","2","74HC138","3-to-8 line decoder/multiplexer inverting, DIP-16/SOIC-16/SSOP-16","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","C5602"
"U3","1","65C21","","Package_DIP:DIP-40_W15.24mm_Socket_LongPads",""
"U4","1","AT28C64","","Package_DIP:DIP-28_W15.24mm_Socket_LongPads",""
